"","username","my_watched_episodes","total_count","greater_than_eq_3_count","percentage","category"
"1","___",6.5,2,2,1,10
"2","_____nekochan",1,1,0,0,1
"3","___Dante___",17,1,1,1,10
"4","__Eli_Brandl__",1,4,1,0.25,3
"5","__HellGirl__",8,1,1,1,10
"6","__Luka-Chan",3,38,21,0.552631578947368,6
"7","__Phoenix",2,24,8,0.333333333333333,4
"8","__Ren__",5.5,6,5,0.833333333333333,9
"9","__Roadroller__",2,2,0,0,1
"10","__Shield",5,4,3,0.75,8
"11","__Simon__",4.5,20,16,0.8,8
"12","__valen",3,1,1,1,10
"13","_-Ritsuka-_",1,7,0,0,1
"14","_acidbath",10,1,1,1,10
"15","_Adi",4,10,8,0.8,8
"16","_Agito_",3,1,1,1,10
"17","_aikawa",19,1,1,1,10
"18","_Aisu",3,28,15,0.535714285714286,6
"19","_Aki-chan_",2,26,10,0.384615384615385,4
"20","_Akiko_",3,3,2,0.666666666666667,7
"21","_akira",2,1,0,0,1
"22","_Ako_",6,10,10,1,10
"23","_Alexa_",3.5,4,2,0.5,5
"24","_Alice__",3,5,3,0.6,6
"25","_allen",1,5,1,0.2,2
"26","_Ami_",3.5,26,16,0.615384615384615,7
"27","_Ami-chan_",1,2,0,0,1
"28","_Andreia_20",3,12,7,0.583333333333333,6
"29","_aNiMe_LoVeR_22",6,1,1,1,10
"30","_AnimeLover64_",1,13,5,0.384615384615385,4
"31","_Arcadia_",3,1,1,1,10
"32","_Argh",2,48,16,0.333333333333333,4
"33","_Arris_",7,1,1,1,10
"34","_Ashuramaru",3,14,8,0.571428571428571,6
"35","_Asmodeus_",3.5,4,3,0.75,8
"36","_Beatrice",2,1,0,0,1
"37","_bernie",2,45,21,0.466666666666667,5
"38","_blake_",2,36,13,0.361111111111111,4
"39","_BranKo",1,4,1,0.25,3
"40","_bryan_17",2,11,4,0.363636363636364,4
"41","_carol_",3,4,2,0.5,5
"42","_chessuka",4,4,4,1,10
"43","_Chinami_",2,13,3,0.230769230769231,3
"44","_Clover22",5,1,1,1,10
"45","_Clow",2,3,1,0.333333333333333,4
"46","_Coco_A_",2,3,0,0,1
"47","_Complicated",1,4,1,0.25,3
"48","_Core",6.5,2,2,1,10
"49","_Crystal_",2,30,13,0.433333333333333,5
"50","_Deimos",5,7,7,1,10
"51","_demonpox",2,9,3,0.333333333333333,4
"52","_DindoMix_",5,21,16,0.761904761904762,8
"53","_Dx_",1,29,4,0.137931034482759,2
"54","_eclosion",4,1,1,1,10
"55","_edge_",7,2,2,1,10
"56","_Edwards-kun_",2,1,0,0,1
"57","_Eise_",2,2,0,0,1
"58","_emptysecret",2,34,11,0.323529411764706,4
"59","_Enify_",2,7,3,0.428571428571429,5
"60","_Envy_",3,7,5,0.714285714285714,8
"61","_eternal",2,19,9,0.473684210526316,5
"62","_evolet_",4,2,2,1,10
"63","_Excalibur_",1,3,1,0.333333333333333,4
"64","_Ez_",2,9,4,0.444444444444444,5
"65","_Farid_",1,8,3,0.375,4
"66","_ferfo",4,5,5,1,10
"67","_Fluxy_",3,2,1,0.5,5
"68","_furiganaRED",4,5,4,0.8,8
"69","_fuwafuwaru",7.5,2,2,1,10
"70","_gallo_",6,37,31,0.837837837837838,9
"71","_Gemini_",2,1,0,0,1
"72","_gigaflare",3,15,8,0.533333333333333,6
"73","_GM_NeverWinter",3,10,6,0.6,6
"74","_griph",3,10,6,0.6,6
"75","_HadeelM",4,5,3,0.6,6
"76","_Halconnen",6,3,3,1,10
